factors,total_quantum_cycles,computation_time
"(3, 71)",166,55535
"(2, 107)",148,4524
"(5, 43)",13488,71134890
"(2, (2, (2, ((3, 3), 3))))",45444,329229998
"(7, 31)",13460,75088732
"(2, 109)",148,5008
"(73, 3)",13466,67966481
"(2, (2, (5, 11)))",13466,83277684
"(17, 13)",13486,77098741
"(2, (3, 37))",26781,143242519
223,133,4090
"(2, (2, (2, (2, (2, 7)))))",130,17394
"(3, ((3, 5), 5))",176,72462
"(2, 113)",148,6175
227,133,2742
"(2, (2, (3, 19)))",13468,62822484
229,133,3950
"(2, (5, 23))",13475,73804106
"(7, (3, 11))",26769,129875694
"(2, (2, (2, 29)))",150,16687
233,133,4382
"(2, ((3, 3), 13))",13462,76336849
"(5, 47)",13488,70362698
"(2, (2, 59))",163,12290
"(3, 79)",13466,56570010
"(2, (7, 17))",175,49942
239,133,2516
"(2, (2, (2, (2, (5, 3)))))",8248,67690288
241,133,2902
"(2, (11, 11))",93277,515850040
"(3, (3, (3, (3, 3))))",267565,1412583821
"(2, (2, 61))",163,6395
"(5, (7, 7))",106565,569600206
"(2, (3, 41))",181,11289
"(13, 19)",13486,65533324
"(2, (2, (2, 31)))",150,6733
"(3, 83)",40066,180825327
"(2, (5, (5, 5)))",273180,1607625693
251,133,5670
"(2, (2, ((3, 3), 7)))",24451,169838476
"(11, 23)",53386,307189977
"(2, 127)",148,10273
"(3, (17, 5))",193,81073
"(2, (2, (2, (2, (2, (2, (2, 2)))))))",120,24306
257,133,5282
"(2, (43, 3))",26781,149691886
"(37, 7)",23788,163318255
"(2, (2, (5, 13)))",13466,63386373
"(3, (29, 3))",26771,172657875
"(2, 131)",148,5046
263,133,2132
"(2, (2, (2, (3, 11))))",26759,110252399
"(5, 53)",188,23268
"(2, (19, 7))",13475,60356400
"(89, 3)",11966,60001647
"(2, (2, 67))",163,7516
269,133,2329
"(2, (5, (3, (3, 3))))",169469,909921884
271,133,7792
"(2, (2, (2, (2, 17))))",165,22633
"(13, (3, 7))",11969,90293121
"(2, 137)",148,11974
"((5, 5), 11)",22491,132688879
"(2, (2, (3, 23)))",168,17263
277,133,2959
"(2, 139)",148,4559
"(3, (3, 31))",171,16602
"(2, (2, (2, (5, 7))))",13455,63218364
281,133,5680
"(2, (47, 3))",26781,167844037
283,133,2864
"(2, (2, 71))",163,5731
"(5, (3, 19))",11993,46752204
"(2, (13, 11))",13477,55847067
"(7, 41)",106388,601902392
"(2, (2, (2, (2, (2, (3, 3))))))",24441,213901696
"(17, 17)",212610,1091696471
"(2, (5, 29))",13475,52185160
"(97, 3)",23766,136404342
"(2, (2, 73))",163,10555
293,133,3285
"(2, (3, (7, 7)))",66658,380257195
"(59, 5)",47388,263527565
"(2, (2, (2, 37)))",178,13185
"((3, (3, 3)), 11)",53980,300510009
"(2, 149)",148,5326
"(23, 13)",35586,159234998
"(2, (2, (3, (5, 5))))",10673,73249815
"(43, 7)",59188,326826924
"(2, 151)",148,8306
"(3, 101)",166,68310
"(2, (2, (2, (2, 19))))",165,13050
"(61, 5)",59188,273375462
"(2, (3, (3, 17)))",26786,149790632
307,133,7985
"(2, (2, (7, 11)))",13466,77636928
"(103, 3)",11966,99597991
"(2, (5, 31))",13475,100360309
311,133,11056
"(2, (2, (2, (3, 13))))",159,139106
313,133,7229
"(2, 157)",148,12637
"(5, (7, (3, 3)))",26776,243688249
"(2, (2, 79))",163,23109
317,133,6913
"(2, (3, 53))",13481,135360944
"(29, 11)",23786,145465305
"(2, (2, (2, (2, (2, (2, 5))))))",145,11827
"(3, 107)",23766,100868196
"(2, (23, 7))",13475,60340183
"(17, 19)",12010,66606343
"(2, (2, (3, (3, (3, 3)))))",8262,83103759
"(13, (5, 5))",22491,99789136
"(2, 163)",148,6301
"(109, 3)",166,11280
"(2, (2, (2, 41)))",178,7198
"(7, 47)",11988,50152625
"(2, (5, (3, 11)))",53384,276641538
331,133,4817
"(2, (2, 83))",163,10849
"(37, (3, 3))",36299,233187296
"(2, 167)",148,7287
"(5, 67)",35588,160159069
"(2, (2, (2, (2, (3, 7)))))",148,20604
337,133,2676
"(2, (13, 13))",173077,806182953
"(113, 3)",11966,77702323
"(2, (2, (17, 5)))",13490,77989975
"(11, 31)",47386,231365185
"(2, (19, (3, 3)))",13486,70361314
"(7, (7, 7))",144765,753027365
"(2, (2, (2, 43)))",178,12354
"(5, (3, 23))",25293,139913388
"(2, 173)",148,9990
347,133,4048
"(2, (2, (3, 29)))",168,23533
349,133,3206
"(2, ((5, 5), 7))",34480,203201229
"((3, (3, 3)), 13)",22480,150007009
"(2, (2, (2, (2, (2, 11)))))",156,21116
353,133,5264
"(2, (3, 59))",40081,233903241
"(5, 71)",188,81133
"(2, (2, 89))",163,14083
"(17, (7, 3))",43493,241876718
"(2, 179)",148,5287
359,133,2204
"(2, (2, (2, (3, (5, 3)))))",8266,42016053
"(19, 19)",212610,1152385365
"(2, 181)",148,8792
"(3, (11, 11))",173095,913365913
"(2, (2, (7, 13)))",13466,66985915
"(73, 5)",11988,52823476
"(2, (61, 3))",13481,63480720
367,133,5833
"(2, (2, (2, (2, 23))))",165,17581
"(41, (3, 3))",28199,162880201
"(2, (5, 37))",26803,158276613
"(7, 53)",11988,66447824
"(2, (2, (31, 3)))",66668,419289892
373,133,3796
"(2, (17, 11))",13501,73540689
"((5, (5, 5)), 3)",96498,546085824
"(2, (2, (2, 47)))",178,19996
"(29, 13)",35586,230412395
"(2, (((3, 3), 3), 7))",44969,285193102
379,133,3465
"(2, (2, (5, 19)))",13490,79659701
"(127, 3)",11966,61325351
"(2, 191)",148,7167
383,133,2912
"(2, (2, (2, (2, (2, (2, (2, 3)))))))",138,17024
"(5, (7, 11))",11991,56777040
"(2, 193)",148,7517
"(3, (3, 43))",26799,156876400
"(2, (2, 97))",163,7025
389,133,2352
"(2, ((5, 3), 13))",16384,182677056
"(23, 17)",35610,187057094
"(2, (2, (2, (7, 7))))",13455,61189481
"(3, 131)",11966,78577375
"(2, 197)",148,10144
"(5, 79)",188,20984
