factors,total_quantum_cycles,computation_time
"(2, (19, 53))",189253,1220936248
"(13, (5, 31))",40141,263016913
"(2, (2, (2, (2, (2, ((3, 3), 7))))))",196,112056
2017,133,6225
"(2, 1009)",148,8850
"(3, 673)",166,17152
"(2, (2, (101, 5)))",59218,453635954
"(47, 43)",119866,1014809783
"(2, (3, 337))",181,34481
"(17, (17, 7))",31965,281736891
"(2, (2, (2, (11, 23))))",231,120060
"((5, 5), (3, ((3, 3), 3)))",189742,1752331058
"(2, 1013)",148,8341
2027,133,2581
"(2, (2, ((13, 13), 3)))",236625,1696990891
2029,133,7419
"(2, ((29, 5), 7))",24030,127747568
"(3, 677)",166,86783
"(2, (2, (2, (2, 127))))",193,22471
"(107, 19)",18638,146793506
"(2, (113, (3, 3)))",26914,301570534
"(5, (11, 37))",68469,521465264
"(2, (2, 509))",163,28731
"(3, (97, 7))",10721,105894601
"(2, 1019)",148,14763
2039,133,4939
"(2, (2, (2, (3, (5, 17)))))",26838,175887281
"(13, 157)",101414,911490197
"(2, 1021)",148,15175
"(3, (3, 227))",42199,326771236
"(2, (2, (73, 7)))",12018,99563711
"(409, 5)",9388,82639779
"(2, ((11, 31), 3))",105134,796949926
"(89, 23)",9438,93329352
"(2, (2, (2, (2, (2, (2, (2, (2, (2, (2, 2))))))))))",165,52878
"(3, 683)",8266,79467797
"(2, ((5, 5), 41))",113158,926705030
"(7, 293)",154088,1337318620
"(2, (2, (3, ((3, 3), 19))))",234,78849
2053,133,5970
"(2, (13, 79))",9429,54439077
"(5, (3, 137))",8321,97015912
"(2, (2, (2, 257)))",178,9281
"((11, 11), 17)",37867,271214898
"(2, (((7, 7), 7), 3))",233613,1336506862
"(29, 71)",16438,137298958
"(2, (2, (103, 5)))",21218,199208140
"((3, 3), 229)",64999,615043274
"(2, 1031)",148,23812
2063,133,6693
"(2, (2, (2, (2, (3, 43)))))",226,63248
"(7, (5, 59))",23843,131509216
"(2, 1033)",148,7030
"(3, (53, 13))",18847,99909960
"(2, (2, (11, 47)))",52744,310476825
2069,133,4976
"(2, ((5, 3), (3, 23)))",30841,324347880
"(109, 19)",8338,65320736
"(2, (2, (2, (7, 37))))",12033,88292273
"(3, 691)",166,112433
"(2, (17, 61))",9453,108318101
"((5, 5), 83)",43143,438508731
"(2, (2, (3, 173)))",21196,178104923
"(67, 31)",32638,320426989
"(2, 1039)",148,12285
"((7, 11), (3, (3, 3)))",43135,410294813
"(2, (2, (2, (2, (2, (5, 13))))))",13511,93274391
2081,133,10759
"(2, (3, 347))",181,123553
2083,133,5993
"(2, (2, 521))",163,16339
"(3, (5, 139))",10721,119742441
"(2, (149, 7))",9403,104046477
2087,133,6079
"(2, (2, (2, ((3, 3), 29))))",216,108108
2089,133,4818
"(2, (19, (5, 11)))",22756,202016156
"(17, (3, 41))",8371,91115943
"(2, (2, 523))",163,18828
"((23, 7), 13)",21641,217031627
"(2, (3, 349))",181,127034
"(5, 419)",24488,270638607
"(2, (2, (2, (2, 131))))",193,27459
"(3, (3, 233))",34999,421245547
"(2, 1049)",148,7403
2099,133,1992
"(2, (2, ((5, 5), (7, 3))))",31728,279476549
"(11, 191)",16414,217371701
"(2, 1051)",148,10370
"(3, 701)",8266,96074267
"(2, (2, (2, 263)))",178,10891
"(5, 421)",16388,181213600
"(2, (3, ((3, (3, 3)), 13)))",87128,862062807
"((7, 7), 43)",162743,1206598792
"(2, (2, (17, 31)))",10740,93662837
"(3, (37, 19))",10771,93261331
"(2, (5, 211))",9403,83756074
2111,133,5469
"(2, (2, (2, (2, (2, (2, (3, 11)))))))",204,87305
2113,133,3766
"(2, (7, 151))",129003,1216295943
"(3, ((47, 5), 3))",24054,189613202
"(2, (2, (23, 23)))",147240,1180619804
"(73, 29)",32638,299587106
"(2, (353, 3))",36981,377066633
"(13, 163)",56914,599377502
"(2, (2, (2, (5, 53))))",233,21560
"(3, (7, 101))",8321,81101622
"(2, 1061)",148,11859
"(193, 11)",32614,394624864
"(2, (2, (3, (3, 59))))",229,67650
"((17, (5, 5)), 5)",31970,254235536
"(2, 1063)",148,11926
"(3, 709)",81166,809766363
"(2, (2, (2, (2, (7, 19)))))",220,17553
2129,133,1906
"(2, (3, (71, 5)))",12036,60144947
2131,133,4780
"(2, (2, (13, 41)))",31744,227762876
"(3, (3, (79, 3)))",45432,323754174
"(2, (97, 11))",55429,495531866
"(5, (61, 7))",12043,96455683
"(2, (2, (2, (3, 89))))",211,57742
2137,133,2354
"(2, 1069)",148,4261
"(3, (23, 31))",32643,283575114
"(2, (2, (5, 107)))",63218,393723841
2141,133,4373
"(2, (3, (3, (17, 7))))",36041,292443152
2143,133,4075
"(2, (2, (2, (2, (2, 67)))))",208,14683
"((5, 3), (13, 11))",21650,164898346
"(2, (37, 29))",83053,779197929
"(113, 19)",65038,693833145
"(2, (2, (3, 179)))",21196,132209580
"(7, 307)",56888,581365583
"(2, ((43, 5), 5))",9458,69336503
"(3, (3, 239))",199,36381
"(2, (2, (2, 269)))",178,11951
2153,133,3007
"(2, (3, 359))",181,19872
"(5, 431)",8288,84687721
"(2, (2, ((7, 7), 11)))",173121,1043685041
"(3, 719)",166,13073
"(2, (83, 13))",276229,2410879366
"(17, 127)",8338,66271652
"(2, (2, (2, (2, (5, (3, (3, 3)))))))",24014,136737080
2161,133,4568
"(2, (23, 47))",9453,63466118
"(3, (7, 103))",35021,270803265
"(2, (2, 541))",163,16583
"(433, 5)",24488,236056057
"(2, (3, (19, 19)))",71058,381139798
"(11, 197)",16414,135102900
"(2, (2, (2, 271)))",178,11996
"(241, (3, 3))",40699,290051352
"(2, (7, (31, 5)))",13530,60047481
"(167, 13)",291814,2305935082
"(2, (2, (3, 181)))",196,33276
"(41, 53)",48866,382402159
"(2, 1087)",148,5776
"(3, (29, (5, 5)))",92348,627984101
"(2, (2, (2, (2, (2, (2, (2, 17)))))))",210,16015
"(7, 311)",188,12255
"(2, ((11, 11), (3, 3)))",79943,419971137
2179,133,5644
"(2, (2, (5, 109)))",10718,67023345
"(3, 727)",32566,246671950
"(2, 1091)",148,8171
"(59, 37)",32666,239717165
"(2, (2, (2, (13, (3, 7)))))",34314,192405177
"(19, (5, 23))",29765,160788592
"(2, 1093)",148,8700
"(3, (3, (3, (3, ((3, 3), 3)))))",161231,1136604706
"(2, (2, 547))",163,8315
"(11, 199)",32614,280230700
"(2, (5, (73, 3)))",13536,64688304
"(313, 7)",48788,331745537
"(2, (2, (2, (2, 137))))",193,9862
"(43, (17, 3))",21671,119044898
"(2, 1097)",148,5808
"(5, 439)",16388,109328168
"(2, (2, ((3, 3), 61)))",10729,67739299
"(13, (13, 13))",284843,1984310527
"(2, (157, 7))",27803,189930890
"(3, 733)",56866,453264703
"(2, (2, (2, (5, (5, 11)))))",13536,59057073
"(31, 71)",16438,157583477
"(2, (3, 367))",9381,65555895
2203,133,2293
"(2, (2, (29, 19)))",31740,217889834
"(5, ((7, 7), (3, 3)))",57731,476367036
"(2, 1103)",148,6252
2207,133,3279
"(2, (2, (2, (2, (2, (3, 23))))))",213,18132
"(47, 47)",251366,2310204837
"(2, (5, (17, 13)))",22756,144300088
"(3, (11, 67))",163447,1045692563
"(2, (2, (7, 79)))",21218,119760994
2213,133,3194
"(2, (3, (41, (3, 3))))",69847,447506751
"(5, 443)",8288,83096561
"(2, (2, (2, 277)))",178,20195
"(3, 739)",8266,79825359
"(2, 1109)",148,9991
"(7, 317)",8288,73208908
"(2, (2, ((5, 3), 37)))",18851,132838503
2221,133,4269
"(2, (11, 101))",9429,65453407
"((3, 3), (13, 19))",13552,51462070
"(2, (2, (2, (2, 139))))",193,11242
"(89, (5, 5))",37443,309542547
"(2, ((3, 53), 7))",9436,50409448
"(17, 131)",97438,766893627
"(2, (2, 557))",163,12108
"(3, 743)",166,16025
"(2, (5, 223))",27803,266861259
"(97, 23)",32638,238430788
"(2, (2, (2, (3, (3, 31)))))",25316,167944841
"(7, (11, 29))",8341,83469943
"(2, 1117)",148,10289
"(5, (3, 149))",43721,259642288
"(2, (2, (43, 13)))",31744,175904516
2237,133,3162
"(2, (3, 373))",181,32473
2239,133,1657
"(2, (2, (2, (2, (2, (2, (5, 7)))))))",13500,68450586
"(3, (3, (3, 83)))",8332,109492840
"(2, (59, 19))",92253,646451447
2243,133,5801
"(2, (2, (3, (17, 11))))",13549,57522795
"(5, 449)",188,29212
"(2, 1123)",148,3986
"(3, (7, 107))",24521,187533434
"(2, (2, (2, 281)))",178,8031
"(173, 13)",65014,517961724
"(2, ((5, (5, 5)), (3, 3)))",276846,1690974756
2251,133,3984
"(2, (2, 563))",163,7474
"(3, 751)",166,13060
"(2, (7, (7, 23)))",26830,132474101
"(5, (41, 11))",12069,63272094
"(2, (2, (2, (2, (3, 47)))))",26826,153447705
"(37, 61)",24566,187516307
"(2, 1129)",148,5359
"((3, 3), 251)",8299,47382140
"(2, (2, (113, 5)))",42218,227043838
"((7, 17), 19)",29765,174688061
"(2, (3, (29, 13)))",12034,70638011
"(73, 31)",48838,334067305
"(2, (2, (2, 283)))",178,14821
"(5, (151, 3))",63621,407480230
"(2, (103, 11))",46229,267479133
2267,133,4057
"(2, (2, (((3, 3), (3, 3)), 7)))",58817,345836861
2269,133,3860
"(2, (5, 227))",18603,154556653
"(757, 3)",8266,63036402
"(2, (2, (2, (2, (2, 71)))))",208,18149
2273,133,3045
"(2, (3, 379))",181,45503
"(5, (13, (5, 7)))",38646,230070687
"(2, (2, 569))",163,17094
"((3, 3), (23, 11))",82952,476696893
"(2, (17, 67))",9453,81119191
"(53, 43)",73166,622785795
"(2, (2, (2, (3, (5, 19)))))",13538,72725925
2281,133,6704
"(2, (7, 163))",37003,231630219
"(3, 761)",166,10940
"(2, (2, 571))",163,5342
"(457, 5)",8288,54666022
"(2, ((3, 3), 127))",46214,286785596
2287,133,3395
"(2, (2, (2, (2, (13, 11)))))",13522,53385837
"(3, (109, 7))",60821,376524102
"(2, (5, 229))",203,35729
"(29, 79)",238,9434
"(2, (2, (3, 191)))",196,12137
2293,133,2066
"(2, (31, 37))",9453,55422942
"(3, (17, ((3, 5), 3)))",45459,244696890
"(2, (2, (2, (41, 7))))",12033,73408225
2297,133,5924
"(2, (3, 383))",181,56837
"(11, (11, 19))",67367,413143582
"(2, (2, ((5, 5), 23)))",84245,540008120
"(3, (13, 59))",168247,1117273493
"(2, 1151)",148,5186
"(7, (47, 7))",83543,542668389
"(2, (2, (2, (2, (2, (2, (2, (2, (3, 3)))))))))",8286,51021331
"(461, 5)",16388,103585713
"(2, 1153)",148,6657
"(3, 769)",166,34962
"(2, (2, 577))",163,6603
2309,133,2044
"(2, (3, (7, (5, 11))))",13539,62275001
2311,133,3096
"(2, (2, (2, (17, 17))))",47455,315038747
"(3, (3, 257))",39799,217847447
"(2, (13, 89))",18629,133520369
"(5, 463)",188,19898
"(2, (2, (3, 193)))",196,20255
"(331, 7)",56888,430079144
"(2, (19, 61))",9453,73057315
"(3, 773)",166,58088
"(2, (2, (2, (2, (5, 29)))))",26820,183519531
"(11, 211)",24514,189626836
"(2, (3, ((3, 3), 43)))",17547,123172183
"(23, 101)",73138,566886631
"(2, (2, (7, 83)))",218,15545
"(3, ((5, 5), 31))",42248,256815163
"(2, 1163)",148,11743
"(13, 179)",40714,279841326
"(2, (2, (2, (97, 3))))",23811,126946837
"(17, 137)",16438,140080054
"(2, (5, 233))",18603,146477715
"((3, 7), (37, 3))",47854,270127681
"(2, (2, (53, 11)))",84244,479678687
2333,133,3593
"(2, (3, 389))",18581,127153571
"(5, 467)",16388,193716908
"(2, (2, (2, (2, (2, 73)))))",208,36687
"(41, (3, 19))",8371,88798683
"(2, (167, 7))",83003,747959510
2339,133,6286
"(2, (2, ((5, 13), (3, 3))))",50732,436790851
2341,133,6859
"(2, 1171)",148,9939
"(3, (11, 71))",21247,175367235
"(2, (2, (2, 293)))",178,12164
"(7, (5, 67))",23843,131565091
"(2, (3, (17, 23)))",21258,173153862
2347,133,7624
"(2, (2, 587))",163,16258
"(3, (29, (3, (3, 3))))",63237,461855112
"(2, ((5, 5), 47))",114458,808112426
2351,133,3077
"(2, (2, (2, (2, (3, (7, 7))))))",13503,98767816
"(13, 181)",8314,61600927
"(2, (11, 107))",129029,1102260544
"((3, 5), 157)",221,25161
"(2, (2, (19, 31)))",10740,130006884
2357,133,3579
"(2, (3, (3, 131)))",214,66278
"(337, 7)",24488,209471410
"(2, (2, (2, (5, 59))))",35633,365353396
"(3, 787)",166,74390
"(2, 1181)",148,8042
"(17, 139)",8338,88137424
"(2, (2, (3, 197)))",196,80815
"(5, (11, 43))",90969,633842591
"(2, ((13, 13), 7))",129132,912495766
"((3, 3), 263)",16399,126329430
"(2, (2, (2, (2, (2, (2, 37))))))",223,22537
"(23, 103)",56938,597185696
"(2, (3, (5, 79)))",12036,76485577
2371,133,4784
"(2, (2, 593))",163,10003
"(3, (7, 113))",16421,116135666
"(2, 1187)",148,4925
"(19, (5, (5, 5)))",8370,57999485
"(2, (2, (2, ((3, (3, 3)), 11))))",12025,54704899
2377,133,14666
"(2, (41, 29))",27853,227476136
"(61, (3, 13))",34947,226662944
"(2, (2, (17, (7, 5))))",63945,646891501
2381,133,9866
"(2, (3, 397))",46181,346838371
2383,133,4277
"(2, (2, (2, (2, 149))))",193,16948
"(3, (5, (3, 53)))",10754,66462739
"(2, 1193)",148,8847
"(11, (31, 7))",21641,150174778
"(2, (2, (3, 199)))",10696,63144340
2389,133,4621
"(2, (5, 239))",203,19731
"(3, 797)",16366,126175614
"(2, (2, (2, (13, 23))))",23831,160993221
2393,133,9910
"(2, (19, ((3, 3), 7)))",29741,259243801
"(5, 479)",188,16761
"(2, (2, 599))",163,7356
"(3, (17, 47))",113371,804067759
"(2, (11, 109))",9429,93357173
2399,133,7656
"(2, (2, (2, (2, (2, (3, (5, 5)))))))",147218,1106791247
"(7, (7, (7, 7)))",84320,585778694
"(2, 1201)",148,15259
"(((3, 3), 3), 89)",48832,603113522
"(2, (2, 601))",163,13678
"(5, (13, 37))",31969,251421359
"(2, (3, 401))",36981,245411493
"(29, 83)",24538,170311908
"(2, (2, (2, (7, 43))))",23833,112315599
"(3, (73, 11))",10747,60675208
"(2, (241, 5))",9403,73626253
2411,133,3747
"(2, (2, (3, (67, 3))))",13529,87001772
"(19, 127)",238,139285
"(2, (17, 71))",9453,109382187
"((3, 7), (5, 23))",24048,179767932
"(2, (2, (2, (2, 151))))",193,13060
2417,133,2493
"(2, (31, (13, 3)))",13534,53493469
"(41, 59)",154166,1129753076
"(2, (2, (5, (11, 11))))",37347,170263673
"(3, (3, 269))",24499,201842793
"(2, (7, 173))",46203,287852348
2423,133,2662
"(2, (2, (2, (3, 101))))",12011,70332269
"(5, (97, 5))",12043,66708147
"(2, 1213)",148,10998
"(3, 809)",166,50351
"(2, (2, 607))",163,9930
"(7, 347)",73088,579561324
"(2, ((3, (3, 3)), (5, (3, 3))))",165235,1263085962
"(17, (13, 11))",21667,123915307
"(2, (2, (2, (2, (2, (2, (2, 19)))))))",210,31195
"(811, 3)",8266,79927402
"(2, 1217)",148,11146
"(5, 487)",32588,269922538
"(2, (2, (29, (7, 3))))",63223,357497771
2437,133,3239
"(2, (53, 23))",9453,72544050
"((3, 3), 271)",16399,96348505
"(2, (2, (2, (5, 61))))",12033,64102047
2441,133,5514
"(2, (3, (37, 11)))",12062,90562730
"(349, 7)",48788,368686091
"(2, (2, (13, 47)))",10744,49960273
"(5, (3, 163))",32621,233801281
"(2, 1223)",148,10475
2447,133,3329
"(2, (2, (2, (2, (17, (3, 3))))))",75431,462762216
"(79, 31)",56938,383487803
"(2, (5, (7, (7, 5))))",37035,237516356
"(3, (43, 19))",89971,623639766
"(2, (2, 613))",163,8435
"(223, 11)",214,11401
"(2, (3, 409))",181,10324
"(5, 491)",8288,72666169
"(2, (2, (2, 307)))",178,20575
"((7, 13), (3, (3, 3)))",87035,465968655
"(2, 1229)",148,6738
2459,133,2100
"(2, (2, (3, (41, 5))))",26851,106686544
"(23, 107)",275638,1924348882
"(2, 1231)",148,5128
"(3, 821)",8266,45193227
"(2, (2, (2, (2, (2, (7, 11))))))",40111,190453359
"(5, (17, 29))",12065,86892868
"(2, ((3, 3), 137))",51014,342544118
2467,133,2680
"(2, (2, 617))",163,6002
"(3, 823)",24466,214066865
"(2, (19, (5, 13)))",13556,63728211
"(7, 353)",24488,149404290
"(2, (2, (2, (3, 103))))",47411,258146221
2473,133,7841
"(2, 1237)",148,13155
"((3, 11), ((5, 5), 3))",173857,1058387086
"(2, (2, 619))",163,7571
2477,133,1942
"(2, (3, (7, 59)))",12036,53685874
"(37, 67)",266,17717
"(2, (2, (2, (2, (5, 31)))))",220,24575
"(3, 827)",56866,389712095
"(2, (17, 73))",27853,163360891
"(13, 191)",32614,210413739
"(2, (2, ((3, 3), (3, 23))))",34534,159874469
"(5, (7, 71))",31943,216571157
"(2, (113, 11))",64629,407762067
"(3, 829)",24466,175214077
"(2, (2, (2, 311)))",178,9944
"(131, 19)",32638,233465753
"(2, ((5, 3), 83))",236,22466
"(53, 47)",8366,50015120
"(2, (2, (89, 7)))",10718,68444654
"(3, (3, 277))",32599,218346445
"(2, (29, 43))",9453,73235050
"(5, 499)",32588,206634494
"(2, (2, (2, (2, (2, (2, (13, 3)))))))",13504,81215925
"(11, 227)",259414,2142311124
"(2, 1249)",148,8080
"(3, (17, (7, 7)))",52748,283098670
"(2, (2, ((5, 5), (5, 5))))",252250,1583271564
"(41, 61)",16466,124894939
"(2, (3, (3, 139)))",44814,327992942
2503,133,7154
"(2, (2, (2, 313)))",178,17636
"(3, (5, 167))",26921,230013569
"(2, (7, 179))",27803,237486165
"(109, 23)",16438,168012624
"(2, (2, (11, (3, 19))))",10749,66214454
"(193, 13)",24514,189017733
"(2, (5, 251))",18603,138038450
"((3, (3, 3)), (3, 31))",48337,445832021
"(2, (2, (2, (2, 157))))",193,21697
"(7, 359)",188,75573
"(2, (3, 419))",36981,333198185
"(5, 503)",188,29535
"(2, (2, (17, 37)))",10768,76643432
"(3, 839)",16366,142413183
"(2, 1259)",148,6936
"(229, 11)",32614,320102685
"(2, (2, (2, (3, (5, (3, 7))))))",45021,339651850
2521,133,3648
"(2, (97, 13))",9429,63751288
"(3, (29, 29))",1030143,7583112595
"(2, (2, 631))",163,9862
"(101, (5, 5))",64143,434530440
"(2, (421, 3))",18581,95435569
"((19, 19), 7)",151365,983501810
"(2, (2, (2, (2, (2, 79)))))",208,17211
"(281, (3, 3))",105499,735761784
"(2, (5, (11, 23)))",26856,128931569
2531,133,2850
"(2, (2, (3, 211)))",196,52341
"(17, 149)",238,13338
"(2, (181, 7))",9403,61208301
"(5, ((3, 13), 13))",250,59001
"(2, (2, (2, 317)))",178,8717
"(59, 43)",32666,227179360
"(2, ((3, 3), (47, 3)))",87547,560484440
2539,133,3109
"(2, (2, (5, 127)))",218,27490
"(7, (3, (11, 11)))",283150,1527950701
"(2, (41, 31))",9453,101847705
2543,133,3823
"(2, (2, (2, (2, (53, 3)))))",226,63370
"(5, 509)",188,13703
"(2, (19, 67))",27853,188508987
"(3, (3, 283))",21199,120066307
"(2, (2, (13, (7, 7))))",77221,406234209
2549,133,3052
"(2, (17, (3, (5, 5))))",19963,94498927
2551,133,4545
"(2, (2, (2, (29, 11))))",23831,111738848
"(37, (3, 23))",21671,128851234
"(2, 1277)",148,13952
"(5, (73, 7))",12043,66406616
"(2, (2, ((3, 3), 71)))",86029,796572535
2557,133,3976
"(2, 1279)",148,6310
"(3, 853)",8266,70292579
"(2, (2, (2, (2, (2, (2, (2, (2, (2, 5)))))))))",190,19280
"(13, 197)",24514,252916109
"(2, ((7, 3), 61))",10736,90491772
"(11, 233)",121714,1083398998
"(2, (2, 641))",163,14619
"(3, (5, ((3, 3), 19)))",80759,679516771
"(2, 1283)",148,17006
"(151, 17)",162238,1519996078
"(2, (2, (2, (3, 107))))",47411,390042584
"(7, 367)",40688,330392624
"(2, (257, 5))",9403,80039510
"(3, 857)",8266,87396658
"(2, (2, 643))",163,8105
"(83, 31)",227038,2105775065
"(2, (13, (11, (3, 3))))",47043,515186980
"(5, (5, 103))",32643,294918326
"(2, (2, (2, (2, (7, 23)))))",13520,80005192
"(3, 859)",16366,139930790
"(2, 1289)",148,10150
2579,133,3447
"(2, (2, (3, (43, 5))))",10751,97413216
"(89, 29)",24538,218899021
"(2, 1291)",148,6755
"((3, 3), (41, 7))",36354,266917768
"(2, (2, (2, (17, 19))))",23855,150107221
"(5, (11, 47))",21269,143561322
"(2, (431, 3))",18581,159606146
"(13, 199)",214,53416
"(2, (2, 647))",163,7365
"(3, 863)",166,10040
"(2, (7, (5, 37)))",9458,70358564
2591,133,6448
"(2, (2, (2, (2, (2, (3, (3, (3, 3))))))))",53607,449112101
2593,133,3942
"(2, 1297)",148,5933
"((3, 5), 173)",16421,120038167
"(2, (2, (11, 59)))",84244,556951353
"(7, (53, 7))",84943,706289983
"(2, (3, 433))",9381,46736416
"(23, 113)",238,11492
"(2, (2, (2, ((5, 5), 13))))",22536,103067710
"((17, 17), (3, 3))",776076,5556894598
"(2, 1301)",148,11601
"(137, 19)",40738,326687401
"(2, (2, (31, (7, 3))))",10723,61580691
"(5, 521)",16388,138704359
"(2, 1303)",148,4847
"((3, 79), 11)",21647,129792088
"(2, (2, (2, (2, 163))))",193,21949
2609,133,4394
"(2, ((3, (3, 29)), 5))",9441,79501132
"(7, 373)",24488,194561794
"(2, (2, 653))",163,18499
"(13, (3, 67))",40147,223230484
"(2, 1307)",148,5682
"(5, 523)",8288,85770625
"(2, (2, (2, (3, 109))))",12011,69793869
2617,133,2787
"(2, (17, (7, 11)))",22756,126866917
"(97, (3, (3, 3)))",40732,343541937
"(2, (2, (5, 131)))",21218,156530924
2621,133,3083
"(2, (19, (3, 23)))",64658,514175576
"(61, 43)",24566,216386455
"(2, (2, (2, (2, (2, (2, 41))))))",223,28595
"(5, (7, ((5, 5), 3)))",257853,1841888884
"(2, (13, 101))",37029,339167974
"(37, 71)",48866,421528779
"(2, (2, ((3, 3), 73)))",18829,180488038
"(11, 239)",48814,453041776
"(2, (5, 263))",18603,123741468
"(3, 877)",8266,69497237
"(2, (2, (2, (47, 7))))",23833,143525643
2633,133,4393
"(2, (3, 439))",9381,66919250
"(5, (31, 17))",31765,196449286
"(2, (2, 659))",163,13905
"((3, 3), 293)",8299,104343774
"(2, 1319)",148,21497
"(13, (7, 29))",8341,147035477
"(2, (2, (2, (2, (3, (5, 11))))))",40129,292906632
"(19, 139)",129838,1102642250
"(2, 1321)",148,7428
"(881, 3)",40666,393017993
"(2, (2, 661))",163,6717
"(5, (23, 23))",92365,613136795
"(2, (3, ((3, 3), (7, 7))))",181224,1047191017
2647,133,8064
"(2, (2, (2, 331)))",178,21191
"(3, 883)",166,28237
"(2, (53, (5, 5)))",89558,556029982
"(241, 11)",40714,263238832
"(2, (2, (3, (17, 13))))",13549,50089328
"(379, 7)",32588,216955694
"(2, 1327)",148,10217
"(5, ((3, 3), 59))",43154,350086065
"(2, (2, (2, (2, (2, 83)))))",208,25054
2657,133,4392
"(2, (443, 3))",9381,82756226
2659,133,6850
"(2, (2, (5, (19, 7))))",13545,94106353
"(3, 887)",48766,490324984
"(2, (11, (11, 11)))",109658,896222444
2663,133,8053
"(2, (2, (2, (37, (3, 3)))))",28244,219388522
"(41, (5, 13))",29769,200285256
"(2, (43, 31))",253,66642
"(7, (3, 127))",12021,53007283
"(2, (2, (29, 23)))",21240,127237176
"(157, 17)",40738,372883458
"(2, (3, (89, 5)))",12036,71769811
2671,133,2660
"(2, (2, (2, (2, 167))))",193,9625
"(11, ((3, 3), (3, (3, 3))))",8346,79316347
"(2, (7, 191))",156603,1209003097
"(5, (107, 5))",29343,255605141
"(2, (2, (3, 223)))",196,120210
2677,133,6767
"(2, (13, 103))",92229,729199710
"(3, (19, 47))",84271,491501026
"(2, (2, (2, (5, 67))))",35633,203278621
"(7, 383)",48788,346723247
"(2, ((3, 3), 149))",55414,330402474
2683,133,4954
"(2, (2, (61, 11)))",10744,80683880
"(3, (179, 5))",37421,306093525
"(2, (79, 17))",46253,303020317
2687,133,5198
"(2, (2, (2, (2, (2, (2, (2, (7, 3))))))))",193,87201
2689,133,3263
"(2, (5, 269))",9403,65738692
"((13, 23), (3, 3))",8352,49868976
"(2, (2, 673))",163,6763
2693,133,1714
"(2, (3, 449))",27781,189044244
"(5, (7, (11, 7)))",90246,468840395
"(2, (2, (2, 337)))",178,9100
"(3, (29, 31))",81843,550113738
"(2, (19, 71))",18653,147417113
2699,133,2846
"(2, (2, (5, (5, (3, (3, 3))))))",133239,786714626
"(73, 37)",8366,64561945
"(2, (7, 193))",18603,164665998
"(3, (53, 17))",29371,165921975
"(2, (2, (2, (2, (13, 13)))))",119922,713811339
"(5, 541)",8288,80676641
"(2, (41, (3, 11)))",9462,52297997
2707,133,3917
"(2, (2, 677))",163,7470
"(3, (3, (43, 7)))",12054,69771546
"(2, (5, 271))",46203,313011103
2711,133,2183
"(2, (2, (2, (3, 113))))",211,15119
2713,133,1540
"(2, (23, 59))",83053,555004798
"(3, (181, 5))",56021,364536568
"(2, (2, (97, 7)))",10718,54239180
"(13, (19, 11))",34967,163356229
"(2, (3, (3, 151)))",9414,63533148
2719,133,4087
"(2, (2, (2, (2, (2, (5, 17))))))",13535,68627074
"(3, 907)",166,37627
"(2, 1361)",148,4038
"(7, 389)",8288,42999085
"(2, (2, (3, 227)))",196,15741
"(5, (5, 109))",58443,315264635
"(2, (29, 47))",253,86149
"(3, (3, (3, 101)))",29332,206038103
"(2, (2, (2, (11, 31))))",231,18092
2729,133,2620
"(2, ((3, 7), (13, 5)))",239,26323
2731,133,1956
"(2, (2, 683))",163,6010
"(3, 911)",8266,61491336
"(2, 1367)",148,4656
"(5, 547)",40688,252935255
"(2, (2, (2, (2, (3, (3, 19))))))",13531,78547400
"(17, (23, 7))",56365,305777107
"(2, (37, 37))",211881,1376167020
"((11, 83), 3)",29347,191762495
"(2, (2, (137, 5)))",10718,49637800
2741,133,2999
"(2, (3, 457))",18581,132752972
"(13, 211)",16414,124173110
"(2, (2, (2, (7, (7, 7)))))",37110,196808542
"(5, (61, (3, 3)))",18854,133317783
"(2, 1373)",148,8717
"(41, 67)",8366,70130074
"(2, (2, (229, 3)))",52696,299553108
2749,133,4524
"(2, (5, (5, (5, 11))))",31961,189894709
"(3, (7, 131))",10721,70474745
"(2, (2, (2, (2, (2, (2, 43))))))",223,25578
2753,133,4025
"(2, (17, (3, ((3, 3), 3))))",160852,992495562
"((29, 5), 19)",48265,352807022
"(2, (2, (13, 53)))",10744,74361011
"(3, 919)",166,46537
"(2, (7, 197))",18603,118021157
"(89, 31)",81238,635548292
"(2, (2, (2, ((3, 5), 23))))",238,94773
"(11, 251)",8314,49561057
"(2, 1381)",148,6236
"(3, (3, 307))",58399,333950732
"(2, (2, 691))",163,10692
"(5, (7, 79))",10743,80792708
"(2, (3, 461))",27781,171929637
2767,133,2532
"(2, (2, (2, (2, 173))))",193,10070
"(3, (13, 71))",247,16957
"(2, (5, 277))",18603,156956692
"(17, 163)",8338,63930485
"(2, (2, (((3, 3), 11), 7)))",64532,408332834
"(47, 59)",210866,1620795131
"(2, (73, 19))",9453,49957878
"(((5, 5), 37), 3)",39876,196548667
"(2, (2, (2, 347)))",178,9629
2777,133,1908
"(2, (3, 463))",9381,50122973
"(7, 397)",188,11908
"(2, (2, (5, 139)))",42218,319045561
"(3, (3, (103, 3)))",62132,364805527
"(2, (13, 107))",83029,519028232
"(11, (23, 11))",54067,371108819
"(2, (2, (2, (2, (2, (29, 3))))))",13513,103400193
"(5, 557)",89288,876571328
"(2, (7, 199))",37003,295888517
"(3, 929)",166,57003
